Date,Open,High,Low,Close,Adj Close,Volume
2014-09-22,856.950012,858.500000,851.000000,856.849976,832.647949,1633579
2014-09-23,856.049988,857.849976,845.599976,848.849976,824.873901,1179244
2014-09-24,847.099976,857.299988,845.049988,855.450012,831.287476,1666374
2014-09-25,853.000000,865.599976,842.099976,849.950012,825.942871,4148990
2014-09-26,849.950012,879.000000,845.000000,871.650024,847.029968,2470563
2014-09-29,873.000000,877.349976,861.200012,865.099976,840.664917,2170567
2014-09-30,864.200012,879.799988,861.150024,872.650024,848.001770,3008858
2014-10-01,866.000000,871.150024,860.500000,868.000000,843.482971,1467547
2014-10-07,865.000000,867.000000,854.099976,862.450012,838.089844,1256572
2014-10-08,860.549988,870.000000,858.299988,867.599976,843.094299,785096
2014-10-09,874.000000,892.950012,868.250000,887.599976,862.529358,1912605
2014-10-10,883.049988,885.150024,864.900024,867.299988,842.802856,1066745
2014-10-13,864.000000,878.000000,855.650024,876.799988,852.034485,1344128
2014-10-14,885.000000,885.950012,865.150024,868.349976,843.823120,1816560
2014-10-15,868.349976,868.349976,868.349976,868.349976,843.823120,0
2014-10-16,868.400024,874.000000,855.049988,858.849976,834.591431,1383271
2014-10-17,860.250000,888.099976,857.099976,885.250000,860.245850,2494480
2014-10-20,894.000000,909.599976,890.150024,893.799988,868.554321,2383001
2014-10-21,900.000000,905.750000,887.650024,895.549988,870.254883,4009288
2014-10-22,905.049988,906.349976,891.250000,893.650024,868.408569,1142886
2014-10-27,899.049988,907.299988,894.150024,897.250000,871.906860,1681192
2014-10-28,899.000000,900.200012,894.000000,895.299988,870.011963,1450873
2014-10-29,900.200012,902.500000,890.000000,891.549988,866.367798,1974047
2014-10-30,889.900024,899.950012,887.099976,896.650024,871.323853,2684545
2014-10-31,900.099976,914.599976,897.349976,911.849976,886.094482,2526497
2014-11-03,915.200012,919.299988,905.400024,910.700012,884.976929,1809912
2014-11-05,915.049988,920.299988,910.250000,912.799988,887.017639,1881045
2014-11-07,905.000000,906.599976,893.650024,899.450012,874.044739,2257123
2014-11-10,899.500000,908.349976,893.000000,904.650024,879.097839,1597439
2014-11-11,905.900024,917.299988,902.400024,907.900024,882.256042,1478352
2014-11-12,911.000000,919.900024,904.150024,911.750000,885.997314,2264666
2014-11-13,915.500000,920.000000,903.900024,915.950012,890.078674,1847238
2014-11-14,918.200012,933.000000,911.750000,930.099976,903.828979,2109514
2014-11-17,930.000000,934.000000,908.000000,918.950012,892.993896,3366021
2014-11-18,921.000000,935.000000,912.000000,932.200012,905.869690,2297278
2014-11-19,935.049988,937.700012,922.150024,926.549988,900.379211,863712
2014-11-20,927.950012,927.950012,912.099976,918.200012,892.265137,1192593
2014-11-21,921.200012,935.000000,914.049988,932.849976,906.501282,2205952
2014-11-24,932.349976,950.000000,928.099976,945.200012,918.502441,1829215
2014-11-25,943.000000,958.799988,939.000000,953.549988,926.616699,3039127
2014-11-26,939.799988,959.900024,933.299988,951.299988,924.430237,2244107
2014-11-27,950.599976,953.799988,943.000000,948.150024,921.369141,3302862
2014-11-28,948.000000,965.900024,947.000000,957.150024,930.114990,2312965
2014-12-01,958.299988,962.450012,948.200012,950.000000,923.166931,1847282
2014-12-02,941.750000,949.599976,939.200012,943.299988,916.656067,1129389
2014-12-03,942.000000,944.049988,932.000000,933.099976,906.744202,1665296
2014-12-04,940.000000,944.250000,932.000000,941.400024,914.809814,1709776
2014-12-05,941.000000,944.400024,935.700012,942.750000,916.121765,1018545
2014-12-08,945.000000,945.000000,925.000000,927.150024,900.962402,1014282
2014-12-09,925.049988,935.000000,925.049988,926.750000,900.573608,1218336
2014-12-10,926.099976,935.000000,925.299988,931.400024,905.092285,1391358
2014-12-11,929.900024,935.750000,925.000000,933.599976,907.230164,1204711
2014-12-12,933.000000,936.200012,929.000000,931.500000,905.189453,1154207
2014-12-15,930.000000,944.299988,928.000000,941.500000,914.907043,1659657
2014-12-16,937.549988,942.000000,917.000000,925.750000,899.601807,1247489
2014-12-17,926.000000,932.500000,916.000000,921.849976,895.812012,1766004
2014-12-18,932.599976,936.500000,922.049988,934.049988,907.667419,1623457
2014-12-19,945.049988,949.000000,932.500000,941.450012,914.858398,1528527
2014-12-22,954.000000,966.099976,942.500000,963.700012,936.479980,2073903
2014-12-23,959.700012,973.950012,955.349976,959.750000,932.641541,1886020
2014-12-24,957.900024,964.799988,941.099976,945.250000,918.551086,4166203
2014-12-26,950.400024,952.950012,942.549988,948.650024,921.855042,841620
2014-12-29,950.099976,956.000000,948.299988,951.700012,924.818909,903700
2014-12-30,950.000000,959.599976,942.750000,956.450012,929.434692,1420300
2014-12-31,956.000000,957.299988,949.750000,951.599976,924.721619,1248132
2015-01-01,951.000000,954.400024,945.049988,952.049988,925.159058,886235
2015-01-02,950.400024,969.299988,950.400024,965.299988,938.034790,1475096
2015-01-05,970.000000,970.549988,955.099976,957.150024,930.114990,1199000
2015-01-06,954.000000,956.549988,937.549988,942.250000,915.635803,2054920
2015-01-07,939.700012,951.349976,936.250000,945.000000,918.308105,1436528
2015-01-08,954.250000,968.950012,948.200012,964.849976,937.597473,2381456
2015-01-09,972.900024,980.000000,966.599976,975.650024,948.092468,2246296
2015-01-12,969.400024,974.400024,964.500000,967.049988,939.735352,1031603
2015-01-13,968.950012,971.950012,955.700012,963.349976,936.139832,1457087
2015-01-14,960.049988,974.650024,959.700012,963.900024,936.674316,921308
2015-01-15,990.000000,998.200012,970.750000,993.150024,965.098145,2849619
2015-01-16,1002.200012,1014.900024,998.549988,1001.349976,973.066467,1955327
2015-01-19,1013.250000,1020.000000,1002.950012,1004.549988,976.176147,1059873
2015-01-20,1010.000000,1027.000000,1002.000000,1020.950012,992.112915,2126451
